country,code_3,country_code,continent,sub_region
Afghanistan,AFG,4,Asia,Southern Asia
Åland Islands,ALA,248,Europe,Northern Europe
Albania,ALB,8,Europe,Southern Europe
Algeria,DZA,12,Africa,Northern Africa
American Samoa,ASM,16,Oceania,Polynesia
Andorra,AND,20,Europe,Southern Europe
Angola,AGO,24,Africa,Middle Africa
Anguilla,AIA,660,Americas,Caribbean
Antarctica,ATA,10,,
Antigua and Barbuda,ATG,28,Americas,Caribbean
Argentina,ARG,32,Americas,South America
Armenia,ARM,51,Asia,Western Asia
Aruba,ABW,533,Americas,Caribbean
Australia,AUS,36,Oceania,Australia and New Zealand
Austria,AUT,40,Europe,Western Europe
Azerbaijan,AZE,31,Asia,Western Asia
Bahamas,BHS,44,Americas,Caribbean
Bahrain,BHR,48,Asia,Western Asia
Bangladesh,BGD,50,Asia,Southern Asia
Barbados,BRB,52,Americas,Caribbean
Belarus,BLR,112,Europe,Eastern Europe
Belgium,BEL,56,Europe,Western Europe
Belize,BLZ,84,Americas,Central America
Benin,BEN,204,Africa,Western Africa
Bermuda,BMU,60,Americas,Northern America
Bhutan,BTN,64,Asia,Southern Asia
Bolivia (Plurinational State of),BOL,68,Americas,South America
"Bonaire, Sint Eustatius and Saba",BES,535,Americas,Caribbean
Bosnia and Herzegovina,BIH,70,Europe,Southern Europe
Botswana,BWA,72,Africa,Southern Africa
Bouvet Island,BVT,74,,
Brazil,BRA,76,Americas,South America
British Indian Ocean Territory,IOT,86,,
Brunei Darussalam,BRN,96,Asia,South-Eastern Asia
Bulgaria,BGR,100,Europe,Eastern Europe
Burkina Faso,BFA,854,Africa,Western Africa
Burundi,BDI,108,Africa,Eastern Africa
Cambodia,KHM,116,Asia,South-Eastern Asia
Cameroon,CMR,120,Africa,Middle Africa
Canada,CAN,124,Americas,Northern America
Cabo Verde,CPV,132,Africa,Western Africa
Cayman Islands,CYM,136,Americas,Caribbean
Central African Republic,CAF,140,Africa,Middle Africa
Chad,TCD,148,Africa,Middle Africa
Chile,CHL,152,Americas,South America
China,CHN,156,Asia,Eastern Asia
Christmas Island,CXR,162,,
Cocos (Keeling) Islands,CCK,166,,
Colombia,COL,170,Americas,South America
Comoros,COM,174,Africa,Eastern Africa
Congo,COG,178,Africa,Middle Africa
Congo (Democratic Republic of the),COD,180,Africa,Middle Africa
Cook Islands,COK,184,Oceania,Polynesia
Costa Rica,CRI,188,Americas,Central America
Côte d'Ivoire,CIV,384,Africa,Western Africa
Croatia,HRV,191,Europe,Southern Europe
Cuba,CUB,192,Americas,Caribbean
Curaçao,CUW,531,Americas,Caribbean
Cyprus,CYP,196,Asia,Western Asia
Czech Republic,CZE,203,Europe,Eastern Europe
Denmark,DNK,208,Europe,Northern Europe
Djibouti,DJI,262,Africa,Eastern Africa
Dominica,DMA,212,Americas,Caribbean
Dominican Republic,DOM,214,Americas,Caribbean
Ecuador,ECU,218,Americas,South America
Egypt,EGY,818,Africa,Northern Africa
El Salvador,SLV,222,Americas,Central America
Equatorial Guinea,GNQ,226,Africa,Middle Africa
Eritrea,ERI,232,Africa,Eastern Africa
Estonia,EST,233,Europe,Northern Europe
Ethiopia,ETH,231,Africa,Eastern Africa
Falkland Islands (Malvinas),FLK,238,Americas,South America
Faroe Islands,FRO,234,Europe,Northern Europe
Fiji,FJI,242,Oceania,Melanesia
Finland,FIN,246,Europe,Northern Europe
France,FRA,250,Europe,Western Europe
French Guiana,GUF,254,Americas,South America
French Polynesia,PYF,258,Oceania,Polynesia
French Southern Territories,ATF,260,,
Gabon,GAB,266,Africa,Middle Africa
Gambia,GMB,270,Africa,Western Africa
Georgia,GEO,268,Asia,Western Asia
Germany,DEU,276,Europe,Western Europe
Ghana,GHA,288,Africa,Western Africa
Gibraltar,GIB,292,Europe,Southern Europe
Greece,GRC,300,Europe,Southern Europe
Greenland,GRL,304,Americas,Northern America
Grenada,GRD,308,Americas,Caribbean
Guadeloupe,GLP,312,Americas,Caribbean
Guam,GUM,316,Oceania,Micronesia
Guatemala,GTM,320,Americas,Central America
Guernsey,GGY,831,Europe,Northern Europe
Guinea,GIN,324,Africa,Western Africa
Guinea-Bissau,GNB,624,Africa,Western Africa
Guyana,GUY,328,Americas,South America
Haiti,HTI,332,Americas,Caribbean
Heard Island and McDonald Islands,HMD,334,,
Holy See,VAT,336,Europe,Southern Europe
Honduras,HND,340,Americas,Central America
Hong Kong,HKG,344,Asia,Eastern Asia
Hungary,HUN,348,Europe,Eastern Europe
Iceland,ISL,352,Europe,Northern Europe
India,IND,356,Asia,Southern Asia
Indonesia,IDN,360,Asia,South-Eastern Asia
Iran (Islamic Republic of),IRN,364,Asia,Southern Asia
Iraq,IRQ,368,Asia,Western Asia
Ireland,IRL,372,Europe,Northern Europe
Isle of Man,IMN,833,Europe,Northern Europe
Israel,ISR,376,Asia,Western Asia
Italy,ITA,380,Europe,Southern Europe
Jamaica,JAM,388,Americas,Caribbean
Japan,JPN,392,Asia,Eastern Asia
Jersey,JEY,832,Europe,Northern Europe
Jordan,JOR,400,Asia,Western Asia
Kazakhstan,KAZ,398,Asia,Central Asia
Kenya,KEN,404,Africa,Eastern Africa
Kiribati,KIR,296,Oceania,Micronesia
Korea (Democratic People's Republic of),PRK,408,Asia,Eastern Asia
Korea (Republic of),KOR,410,Asia,Eastern Asia
Kuwait,KWT,414,Asia,Western Asia
Kyrgyzstan,KGZ,417,Asia,Central Asia
Lao People's Democratic Republic,LAO,418,Asia,South-Eastern Asia
Latvia,LVA,428,Europe,Northern Europe
Lebanon,LBN,422,Asia,Western Asia
Lesotho,LSO,426,Africa,Southern Africa
Liberia,LBR,430,Africa,Western Africa
Libya,LBY,434,Africa,Northern Africa
Liechtenstein,LIE,438,Europe,Western Europe
Lithuania,LTU,440,Europe,Northern Europe
Luxembourg,LUX,442,Europe,Western Europe
Macao,MAC,446,Asia,Eastern Asia
Macedonia (the former Yugoslav Republic of),MKD,807,Europe,Southern Europe
Madagascar,MDG,450,Africa,Eastern Africa
Malawi,MWI,454,Africa,Eastern Africa
Malaysia,MYS,458,Asia,South-Eastern Asia
Maldives,MDV,462,Asia,Southern Asia
Mali,MLI,466,Africa,Western Africa
Malta,MLT,470,Europe,Southern Europe
Marshall Islands,MHL,584,Oceania,Micronesia
Martinique,MTQ,474,Americas,Caribbean
Mauritania,MRT,478,Africa,Western Africa
Mauritius,MUS,480,Africa,Eastern Africa
Mayotte,MYT,175,Africa,Eastern Africa
Mexico,MEX,484,Americas,Central America
Micronesia (Federated States of),FSM,583,Oceania,Micronesia
Moldova (Republic of),MDA,498,Europe,Eastern Europe
Monaco,MCO,492,Europe,Western Europe
Mongolia,MNG,496,Asia,Eastern Asia
Montenegro,MNE,499,Europe,Southern Europe
Montserrat,MSR,500,Americas,Caribbean
Morocco,MAR,504,Africa,Northern Africa
Mozambique,MOZ,508,Africa,Eastern Africa
Myanmar,MMR,104,Asia,South-Eastern Asia
Namibia,NAM,516,Africa,Southern Africa
Nauru,NRU,520,Oceania,Micronesia
Nepal,NPL,524,Asia,Southern Asia
Netherlands,NLD,528,Europe,Western Europe
New Caledonia,NCL,540,Oceania,Melanesia
New Zealand,NZL,554,Oceania,Australia and New Zealand
Nicaragua,NIC,558,Americas,Central America
Niger,NER,562,Africa,Western Africa
Nigeria,NGA,566,Africa,Western Africa
Niue,NIU,570,Oceania,Polynesia
Norfolk Island,NFK,574,Oceania,Australia and New Zealand
Northern Mariana Islands,MNP,580,Oceania,Micronesia
Norway,NOR,578,Europe,Northern Europe
Oman,OMN,512,Asia,Western Asia
Pakistan,PAK,586,Asia,Southern Asia
Palau,PLW,585,Oceania,Micronesia
"Palestine, State of",PSE,275,Asia,Western Asia
Panama,PAN,591,Americas,Central America
Papua New Guinea,PNG,598,Oceania,Melanesia
Paraguay,PRY,600,Americas,South America
Peru,PER,604,Americas,South America
Philippines,PHL,608,Asia,South-Eastern Asia
Pitcairn,PCN,612,Oceania,Polynesia
Poland,POL,616,Europe,Eastern Europe
Portugal,PRT,620,Europe,Southern Europe
Puerto Rico,PRI,630,Americas,Caribbean
Qatar,QAT,634,Asia,Western Asia
Réunion,REU,638,Africa,Eastern Africa
Romania,ROU,642,Europe,Eastern Europe
Russian Federation,RUS,643,Europe,Eastern Europe
Rwanda,RWA,646,Africa,Eastern Africa
Saint Barthélemy,BLM,652,Americas,Caribbean
"Saint Helena, Ascension and Tristan da Cunha",SHN,654,Africa,Western Africa
Saint Kitts and Nevis,KNA,659,Americas,Caribbean
Saint Lucia,LCA,662,Americas,Caribbean
Saint Martin (French part),MAF,663,Americas,Caribbean
Saint Pierre and Miquelon,SPM,666,Americas,Northern America
Saint Vincent and the Grenadines,VCT,670,Americas,Caribbean
Samoa,WSM,882,Oceania,Polynesia
San Marino,SMR,674,Europe,Southern Europe
Sao Tome and Principe,STP,678,Africa,Middle Africa
Saudi Arabia,SAU,682,Asia,Western Asia
Senegal,SEN,686,Africa,Western Africa
Serbia,SRB,688,Europe,Southern Europe
Seychelles,SYC,690,Africa,Eastern Africa
Sierra Leone,SLE,694,Africa,Western Africa
Singapore,SGP,702,Asia,South-Eastern Asia
Sint Maarten (Dutch part),SXM,534,Americas,Caribbean
Slovakia,SVK,703,Europe,Eastern Europe
Slovenia,SVN,705,Europe,Southern Europe
Solomon Islands,SLB,90,Oceania,Melanesia
Somalia,SOM,706,Africa,Eastern Africa
South Africa,ZAF,710,Africa,Southern Africa
South Georgia and the South Sandwich Islands,SGS,239,,
South Sudan,SSD,728,Africa,Eastern Africa
Spain,ESP,724,Europe,Southern Europe
Sri Lanka,LKA,144,Asia,Southern Asia
Sudan,SDN,729,Africa,Northern Africa
Suriname,SUR,740,Americas,South America
Svalbard and Jan Mayen,SJM,744,Europe,Northern Europe
Swaziland,SWZ,748,Africa,Southern Africa
Sweden,SWE,752,Europe,Northern Europe
Switzerland,CHE,756,Europe,Western Europe
Syrian Arab Republic,SYR,760,Asia,Western Asia
"Taiwan, Province of China",TWN,158,Asia,Eastern Asia
Tajikistan,TJK,762,Asia,Central Asia
"Tanzania, United Republic of",TZA,834,Africa,Eastern Africa
Thailand,THA,764,Asia,South-Eastern Asia
Timor-Leste,TLS,626,Asia,South-Eastern Asia
Togo,TGO,768,Africa,Western Africa
Tokelau,TKL,772,Oceania,Polynesia
Tonga,TON,776,Oceania,Polynesia
Trinidad and Tobago,TTO,780,Americas,Caribbean
Tunisia,TUN,788,Africa,Northern Africa
Turkey,TUR,792,Asia,Western Asia
Turkmenistan,TKM,795,Asia,Central Asia
Turks and Caicos Islands,TCA,796,Americas,Caribbean
Tuvalu,TUV,798,Oceania,Polynesia
Uganda,UGA,800,Africa,Eastern Africa
Ukraine,UKR,804,Europe,Eastern Europe
United Arab Emirates,ARE,784,Asia,Western Asia
United Kingdom of Great Britain and Northern Ireland,GBR,826,Europe,Northern Europe
United States of America,USA,840,Americas,Northern America
United States Minor Outlying Islands,UMI,581,,
Uruguay,URY,858,Americas,South America
Uzbekistan,UZB,860,Asia,Central Asia
Vanuatu,VUT,548,Oceania,Melanesia
Venezuela (Bolivarian Republic of),VEN,862,Americas,South America
Viet Nam,VNM,704,Asia,South-Eastern Asia
Virgin Islands (British),VGB,92,Americas,Caribbean
Virgin Islands (U.S.),VIR,850,Americas,Caribbean
Wallis and Futuna,WLF,876,Oceania,Polynesia
Western Sahara,ESH,732,Africa,Northern Africa
Yemen,YEM,887,Asia,Western Asia
Zambia,ZMB,894,Africa,Eastern Africa
Zimbabwe,ZWE,716,Africa,Eastern Africa
